date,v4.0.0-beta1_windows,v4.0.0-beta1_linux,v4.0.0-beta2_windows,v4.0.0-beta2_linux,v4.0.0-beta3_windows,v4.0.0-beta3_linux
2026-06-23,0,0,0,0,0,0
2026-06-24,19,4,0,0,0,0
2026-06-25,29,9,0,0,0,0
2026-06-26,38,10,0,0,0,0
2026-06-27,48,11,0,0,0,0
2026-06-28,52,20,0,0,0,0
2026-06-29,57,21,0,0,0,0
2026-06-30,59,26,0,0,0,0
2026-07-01,62,27,0,0,0,0
2026-07-02,69,31,0,0,0,0
2026-07-03,73,33,0,0,0,0
2026-07-04,80,35,0,0,0,0
2026-07-05,84,36,0,0,0,0
2026-07-06,85,39,0,0,0,0
2026-07-07,87,41,0,0,0,0
2026-07-08,87,45,0,0,0,0
2026-07-10,93,47,0,0,0,0
2026-07-11,97,49,0,0,0,0
2026-07-12,103,51,0,0,0,0
2026-07-13,109,52,0,0,0,0
2026-07-14,111,53,0,0,0,0
2026-07-15,113,54,0,0,0,0
2026-07-16,116,57,0,0,0,0
2026-07-17,119,58,0,0,0,0
2026-07-18,119,59,0,0,0,0
2026-07-19,123,59,0,0,0,0
2026-07-20,124,62,0,0,0,0
2026-07-21,124,64,0,0,0,0
2026-07-22,127,66,0,0,0,0
2026-07-23,131,66,0,0,0,0
2026-07-24,135,67,0,0,0,0
2026-07-25,137,68,0,0,0,0
2026-07-26,144,68,0,0,0,0
2026-07-27,154,68,0,0,0,0
2026-07-28,155,68,0,0,0,0
2026-07-29,156,68,0,0,0,0
2026-07-30,161,68,0,0,0,0
2026-07-31,163,68,0,0,0,0
2026-08-01,165,68,0,0,0,0
2026-08-02,165,68,0,0,0,0
2026-08-03,166,69,0,0,0,0
2026-08-04,168,69,0,0,0,0
2026-08-05,173,70,0,0,0,0
2026-08-06,173,70,6,3,0,0
2026-08-07,173,70,19,5,0,0
2026-08-08,173,70,22,5,0,0
2026-08-09,173,70,31,8,0,0
2026-08-10,173,70,33,11,0,0
2026-08-11,173,71,33,15,0,0
2026-08-12,173,71,40,18,0,0
2026-08-13,173,71,42,19,0,0
2026-08-14,173,71,42,20,0,0
2026-08-15,173,71,44,22,0,0
2026-08-16,173,71,45,22,0,0
2026-08-17,173,71,46,25,0,0
2026-08-18,174,71,50,25,0,0
2026-08-19,174,71,55,28,0,0
2026-08-20,175,71,55,28,0,0
2026-08-21,175,71,61,31,0,0
2026-08-22,175,71,63,32,0,0
2026-08-23,176,71,67,37,0,0
2026-08-24,176,74,73,38,0,0
2026-08-25,176,74,77,39,0,0
2026-08-26,176,74,82,42,0,0
2026-08-27,177,74,84,43,0,0
2026-08-28,178,74,85,43,0,0
2026-08-29,178,74,89,44,0,0
2026-08-30,179,74,93,44,0,0
2026-08-31,179,74,95,46,0,0
2026-09-01,179,74,97,46,0,0
2026-09-02,179,74,100,47,0,0
2026-09-03,179,74,100,47,5,0
2026-09-04,179,74,100,47,7,3
2026-09-05,180,75,101,48,18,6
2026-09-06,180,75,101,48,22,7
2026-09-07,180,76,101,48,28,8
2026-09-08,180,76,101,48,35,8
2026-09-09,180,76,101,48,37,10
2026-09-10,180,76,101,48,48,12
2026-09-11,182,76,101,48,58,17
2026-09-12,182,76,101,49,61,18
2026-09-13,182,76,102,49,69,20
